CrimeDate,CrimeCode,CrimeTime,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
2/7/14,4D,9:45:00,2300 Eutaw Pl,Agg. Assault,Hands,133,Central,Reservoir Hill,39.31201,-76.63555
2/7/14,4D,0:07:00,2800 Santa Fe Av,Agg. Assault,Hands,613,Northwestern,Towanda-Grantley,39.33532,-76.6659
2/7/14,4C,1:05:00,3500 S Hanover St,Agg. Assault,Other,912,Southern,Brooklyn,39.23877,-76.60945
2/7/14,3K,1:30:00,600 Mccabe Av,Robbery - Residence,,524,Northern,Woodbourne-McCabe,39.35262,-76.60779
2/7/14,3NF,10:30:00,700 W Saratoga St,Robbery - Street,Firearm,122,Central,Poppleton,39.29271,-76.62858
2/7/14,2A,11:25:59,1600 Hollins St,Rape,Other,933,Southern,Union Square,39.28741,-76.64243
2/7/14,3P,13:50:00,5200 Loch Raven Bd,Robbery - Street,,413,Northeastern,New Northwood,39.3524,-76.59059
2/7/14,9S,1522,2600 W Fayette St,Shooting,Firearm,842,Southwestern,Shipley Hill,39.28879,-76.65916
2/7/14,3AF,18:01:00,1200 E Fayette St,Robbery - Street,Firearm,211,Southeastern,Pleasant View Gardens,39.29213,-76.60118
2/7/14,4C,18:45:00,300 N Eutaw St,Agg. Assault,Other,111,Central,Downtown,39.29298,-76.62112
2/7/14,3B,19:00:00,1500 E Fayette St,Robbery - Street,,212,Southeastern,Dunbar-Broadway,39.29326,-76.59718
2/7/14,3B,21:20:00,3000 E Fairmount Av,Robbery - Street,,222,Southeastern,Patterson Park Neighborhood,39.29342,-76.57479
2/7/14,3CF,23:03:00,6300 Harford Rd,Robbery - Commercial,Firearm,424,Northeastern,Westfield,39.36013,-76.55466
2/7/14,3CF,23:10:00,5300 Belair Rd,Robbery - Commercial,Firearm,443,Northeastern,Frankford,39.33748,-76.55253
2/7/14,3AF,23:32:00,5200 Hillwell Rd,Robbery - Street,Firearm,823,Southwestern,Westgate,39.28193,-76.70284
2/7/14,3AF,23:32:00,5200 Hillwell Rd,Robbery - Street,Firearm,823,Southwestern,Westgate,39.28193,-76.70284
2/7/14,3AF,23:32:00,5200 Hillwell Rd,Robbery - Street,Firearm,823,Southwestern,Westgate,39.28193,-76.70284
2/7/14,4B,23:37:00,3400 St Ambrose Av,Agg. Assault,Knife,614,Northwestern,Central Park Heights,39.34098,-76.67121
2/7/14,9S,2332,5200 Hillwell Rd,Shooting,Firearm,823,Southwestern,Westgate,39.28193,-76.70284
2/6/14,4B,3:00:00,1900 N Pulaski St,Agg. Assault,Knife,731,Western,Mondawmin,39.3102,-76.6513
2/6/14,4D,4:55:00,2400 Annor Ct,Agg. Assault,Hands,921,Southern,Westport,39.26198,-76.64122
2/6/14,3B,8:20:00,2200 Pressman,Robbery - Street,,723,Western,Coppin Heights/Ash-Co-East,39.30509,-76.65257
2/6/14,2A,9:39:53,2800 Round Rd,Rape,Other,922,Southern,Cherry Hill,39.24717,-76.628
2/6/14,4C,10:00:00,1200 Gleneagle Rd,Agg. Assault,Other,414,Northeastern,Ramblewood,39.36398,-76.59293
2/6/14,4C,12:30:00,500 Richwood Av,Agg. Assault,Other,524,Northern,Richnor Springs,39.34689,-76.60865
2/6/14,1O,1428,4000 Penhurst Av,Homicide,Other,621,Northwestern,West Arlington,39.33867,-76.68592
2/6/14,4B,15:30:00,1900 Ramblewood Rd,Agg. Assault,Knife,415,Northeastern,Loch Raven,39.35838,-76.57935
2/6/14,3K,16:15:00,400 Presstman St,Robbery - Residence,,131,Central,Druid Heights,39.3078,-76.63489
2/6/14,3AF,16:40:00,1500 May Ct,Robbery - Street,Firearm,212,Southeastern,Dunbar-Broadway,39.29437,-76.59679
2/6/14,4C,17:00:00,2200 Braddish Av,Agg. Assault,Other,731,Western,Panway/Braddish Avenue,39.31286,-76.66136
2/6/14,3AF,22:07:00,5100 Northwood Dr,Robbery - Street,Firearm,413,Northeastern,New Northwood,39.35167,-76.59658
2/6/14,3AF,22:07:00,5100 Northwood Dr,Robbery - Street,Firearm,413,Northeastern,New Northwood,39.35167,-76.59658
2/6/14,3AF,22:15:00,3600 Old York Rd,Robbery - Street,Firearm,543,Northern,Waverly,39.33238,-76.60789
2/6/14,3AF,22:15:00,3600 Old York Rd,Robbery - Street,Firearm,543,Northern,Waverly,39.33238,-76.60789
2/6/14,3AF,22:35:00,2600 N Howard St,Robbery - Street,Firearm,511,Northern,Remington,39.31949,-76.61987
2/6/14,3AF,22:45:00,1000 Saint Dunstans Rd,Robbery - Street,Firearm,523,Northern,Cameron Village,39.35899,-76.59947
2/5/14,4C,0:50:00,2500 Mcculloh St,Agg. Assault,Other,133,Western,Reservoir Hill,39.31359,-76.64009
2/5/14,4C,1:18:00,600 Mosher St,Agg. Assault,Other,123,Central,Upton,39.30192,-76.63277
2/5/14,1F,800,600 S Ponca St,Homicide,Firearm,242,Southeastern,Greektown,39.28557,-76.55483
2/5/14,2A,12:36:54,1400 Bloomfield Av,Rape,Other,832,Southwestern,Violetville,39.26157,-76.66657
2/5/14,4A,13:06:00,2200 Ruskin Ave,Agg. Assault,Firearm,732,Western,Parkview/Woodbrook,39.31508,-76.64776
2/5/14,9S,1306,2200 Ruskin Av,Shooting,Firearm,732,Western,Parkview/Woodbrook,39.31508,-76.64776
2/5/14,3AF,15:39:00,1600 Guilford Av,Robbery - Street,Firearm,311,Eastern,Greenmount West,39.308,-76.61225
2/5/14,3B,16:12:00,0 W Saratoga St,Robbery - Street,,111,Central,Downtown,39.29238,-76.61545
2/5/14,3AF,16:18:00,3100 Liberty Hgts Ave,Robbery - Street,Firearm,643,Northwestern,Ashburton,39.32312,-76.66771
2/5/14,3B,19:16:00,0 S Broadway,Robbery - Street,,212,Southeastern,Washington Hill,39.29094,-76.59393
2/5/14,3AF,22:10:00,3300 Kentucky Av,Robbery - Street,Firearm,432,Northeastern,Belair-Edison,39.32147,-76.56759
2/5/14,4C,22:45:00,1100 Winston Av,Agg. Assault,Other,524,Northern,Kenilworth Park,39.34911,-76.60013
2/5/14,4D,23:08:00,1400 Montpelier St,Agg. Assault,Hands,411,Northeastern,Coldstream Homestead Montebello,39.32199,-76.59867
2/4/14,4B,8:14:00,2500 Seabury Rd,Agg. Assault,Knife,922,Southern,Cherry Hill,39.25197,-76.62298
2/4/14,4C,10:43:00,2000 Gwynns Falls Pw,Agg. Assault,Other,731,Western,Mondawmin,39.31578,-76.65245
2/4/14,3AO,1:38:00,3000 Evergreen Av,Robbery - Street,Other,425,Northeastern,Glenham-Belhar,39.3532,-76.56047
2/4/14,4B,2:56:00,,Agg. Assault,Knife,721,Western,,,
2/4/14,4D,7:07:00,1700 E Oliver St,Agg. Assault,Hands,331,Eastern,Broadway East,39.3075,-76.59345
2/4/14,4C,14:25:00,2600 Tolley St,Agg. Assault,Other,831,Southwestern,Morrell Park,39.26394,-76.65103
2/4/14,2A,14:51:18,1600 Bruce Ct,Rape,Other,742,Western,Sandtown-Winchester,39.30689,-76.64541
2/4/14,3AK,15:10:00,300 E Patapsco Av,Robbery - Street,Knife,913,Southern,Brooklyn,39.23769,-76.60688
2/4/14,3AK,15:30:00,3600 Eastern Av,Robbery - Street,Knife,231,Southeastern,Highlandtown,39.28665,-76.56704
2/4/14,3AF,15:45:00,3600 Buena Vista Ave,Robbery - Street,Firearm,531,Northern,Hampden,39.33056,-76.63931
2/4/14,3AF,15:50:00,1800 Union Av,Robbery - Street,Firearm,531,Northern,Jones Falls Area,39.33184,-76.64301
2/4/14,3AF,15:50:00,1800 Union Av,Robbery - Street,Firearm,531,Northern,Jones Falls Area,39.33184,-76.64301
2/4/14,3AF,15:50:00,1800 Union Av,Robbery - Street,Firearm,531,Northern,Jones Falls Area,39.33184,-76.64301
2/4/14,3NF,15:53:00,900 N Howard St,Robbery - Street,Firearm,141,Central,Mid-Town Belvedere,39.30231,-76.62034
