CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Latitude,Longitude
1/21/16,19:05:00,6D,AV & KANE ST,LARCENY FROM AUTO,,241,SOUTHEASTERN,Pulaski Industrial Area,39.28783,-76.53711
1/21/16,19:30:00,5A,3600 PARKVIEW AVE,BURGLARY,,623,NORTHWESTERN,Grove Park,39.3358,-76.70837
1/21/16,19:40:00,4E,2400 FREDERICK AVE,COMMON ASSAULT,HANDS,841,SOUTHWESTERN,Millhill,39.28348,-76.65573
1/21/16,5:21:00,5D,3100 W NORTH AVE,BURGLARY,,813,SOUTHWESTERN,Northwest Community Action,39.3089,-76.66991
1/21/16,5:28:00,3AJO,5600 REISTERSTOWN RD,ROBBERY - CARJACKING,OTHER,631,NORTHWESTERN,Reisterstown Station,39.34883,-76.69195
1/21/16,5:50:00,5A,100 SIEGWART LN,BURGLARY,,842,SOUTHWESTERN,Saint Josephs,39.28387,-76.67582
1/21/16,5:55:00,7A,2100 Koko Ln,AUTO THEFT,,731,WESTERN,Panway/Braddish Avenue,39.31163,-76.66324
1/21/16,6:30:00,6D,800 E LOMBARD ST,LARCENY FROM AUTO,,211,SOUTHEASTERN,Jonestown,39.28832,-76.60471
1/21/16,6:30:00,7A,4000 WOODHAVEN AVE,AUTO THEFT,,642,NORTHWESTERN,Concerned Citizens Of Forest Park,39.32081,-76.68367
1/21/16,6:50:00,7A,4100 FALLSTAFF RD,AUTO THEFT,,631,NORTHWESTERN,Fallstaff,39.36195,-76.7105
1/21/16,7:15:00,6G,3700 BROOKLYN AVE,LARCENY,,913,SOUTHERN,Brooklyn,39.23446,-76.60023
1/21/16,7:15:00,7A,1900 E 31ST ST,AUTO THEFT,,411,NORTHEASTERN,Coldstream Homestead Montebello,39.32637,-76.58872
1/21/16,7:20:00,4C,1100 MONTPELIER ST,AGG. ASSAULT,OTHER,513,NORTHERN,Better Waverly,39.32433,-76.603
1/21/16,7:30:00,6E,4400 PLAINFIELD AVE,LARCENY,,443,NORTHEASTERN,Frankford,39.3263,-76.55582
1/21/16,7:30:00,5D,2400 E MONUMENT ST,BURGLARY,,221,EASTERN,McElderry Park,39.29879,-76.58288
